run_id,run_date,phase,method,split,sequence,frame_start,frame_end,step,k_neighbors,threshold,voxel_size,precision,recall,f1,total_runtime_sec,runtime_sec_per_frame,output_dir,result_dir,notes,decision,next_action
RUN-0001,2026-04-20,recovery,geometric,dev,seq-01,0,0,1,80,0.08,0.02,,,,0.96,0.96,G:\Graduation_Project\output\seq-01,G:\Graduation_Project\results\seq-01,Smoke run completed; pipeline saves ply+npy+png,keep,Run same config on seq-02 and seq-03
RUN-0003,2026-04-20,recovery,geometric,train,seq-01,0,900,100,80,0.08,0.02,,,,5.96,0.596,G:\Graduation_Project\output\seq-01,G:\Graduation_Project\results\seq-01,,,
RUN-0004,2026-04-20,recovery,geometric,train,seq-02,0,900,100,80,0.08,0.02,,,,5.96,0.5955,G:\Graduation_Project\output\seq-02,G:\Graduation_Project\results\seq-02,,,
RUN-0005,2026-04-20,recovery,geometric,train,seq-05,0,900,100,80,0.08,0.02,,,,7.1,0.7102,G:\Graduation_Project\output\seq-05,G:\Graduation_Project\results\seq-05,,,
RUN-0006,2026-04-20,recovery,geometric,train,seq-07,0,900,100,80,0.08,0.02,,,,5.49,0.5487,G:\Graduation_Project\output\seq-07,G:\Graduation_Project\results\seq-07,,,
RUN-0007,2026-04-20,recovery,geometric,train,seq-08,0,900,100,80,0.08,0.02,,,,5.73,0.5726,G:\Graduation_Project\output\seq-08,G:\Graduation_Project\results\seq-08,,,
RUN-0008,2026-04-20,recovery,geometric,train,seq-11,0,900,100,80,0.08,0.02,0.066445,0.876289,0.123524,6.31,0.6307,G:\Graduation_Project\output\seq-11,G:\Graduation_Project\results\seq-11,"Partial GT coverage: evaluated frames 100,200 only (within 0..400 window)",continue,"Label remaining val frames for seq-11 and start seq-13"
RUN-0009,2026-04-20,recovery,geometric,train,seq-13,0,900,100,80,0.08,0.02,,,,5.29,0.5286,G:\Graduation_Project\output\seq-13,G:\Graduation_Project\results\seq-13,,,
RUN-0010,2026-05-05,geometric-baseline,geometric,test,seq-03,0,900,100,80,0.08,0.02,,,,4.27,0.4269,G:\Graduation_Project\output\seq-03,G:\Graduation_Project\results\seq-03,Catch-up: baseline benchmark test split,,Create GT edge labels for test/val sampled frames and run evaluation
RUN-0011,2026-05-05,geometric-baseline,geometric,test,seq-04,0,900,100,80,0.08,0.02,,,,5.85,0.5846,G:\Graduation_Project\output\seq-04,G:\Graduation_Project\results\seq-04,Catch-up: baseline benchmark test split,,Create GT edge labels for test/val sampled frames and run evaluation
RUN-0012,2026-05-05,geometric-baseline,geometric,test,seq-06,0,900,100,80,0.08,0.02,,,,7.06,0.7056,G:\Graduation_Project\output\seq-06,G:\Graduation_Project\results\seq-06,Catch-up: baseline benchmark test split,,Create GT edge labels for test/val sampled frames and run evaluation
RUN-0013,2026-05-05,geometric-baseline,geometric,test,seq-12,0,900,100,80,0.08,0.02,,,,5.49,0.5486,G:\Graduation_Project\output\seq-12,G:\Graduation_Project\results\seq-12,Catch-up: baseline benchmark test split,,Create GT edge labels for test/val sampled frames and run evaluation
RUN-0014,2026-05-05,geometric-baseline,geometric,test,seq-14,0,900,100,80,0.08,0.02,,,,9.71,0.9712,G:\Graduation_Project\output\seq-14,G:\Graduation_Project\results\seq-14,Catch-up: baseline benchmark test split,,Create GT edge labels for test/val sampled frames and run evaluation
